,Job Title,Company,Location,Status,Date Posted,Date Text,Job Link
0,data scientist - supply chain,Starbucks,"Seattle, WA",Actively Hiring,2024-06-14,5 days ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
1,Data Scientist,Rue Gilt Groupe,"Miami, FL",Actively Hiring,2024-06-18,1 day ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
2,"Data Scientist, Product Analytics",Etsy,"Brooklyn, NY",Not specified,2024-06-13,6 days ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
3,"Data Scientist, Marketing Analytics",Etsy,"Brooklyn, NY",Not specified,2024-06-14,5 days ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
4,Data Scientist,Amdocs,"Seattle, WA",Actively Hiring,2024-06-03,2 weeks ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
5,Data Scientist,Constellation,"New York, NY",Actively Hiring,2024-06-04,2 weeks ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
6,Data Scientist,Microsoft,"Redmond, WA",Actively Hiring,2024-06-14,5 days ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
7,Junior Machine Learning Engineer,Team Remotely Inc,"Wilmington, DE",Not specified,2024-06-18,1 day ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
8,Data Scientist,Waterbear Science,New York City Metropolitan Area,Not specified,2024-06-18,1 day ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
9,Data Scientist,Infosys,"Georgia, United States",Actively Hiring +2 benefits,2024-06-05,2 weeks ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
