,Job Title,Company,Location,Status,Job Link,Date Posted,Date Text
0,Data Scientist,Rue Gilt Groupe,"Miami, FL",Actively Hiring,https://www.linkedin.com/jobs/view/data-scientist-at-rue-gilt-groupe-3953827685?position=1&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=Y0Unmr3pUa4%2B7Wm2R9Sb9g%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-18,1 day ago
1,data scientist - supply chain,Starbucks,"Seattle, WA",Actively Hiring,https://www.linkedin.com/jobs/view/data-scientist-supply-chain-at-starbucks-3948433371?position=2&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=wzb6ANNq5rHvm8ufquc7Vw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-14,5 days ago
2,Data Scientist,Constellation,"New York, NY",Actively Hiring,https://www.linkedin.com/jobs/view/data-scientist-at-constellation-3939080475?position=3&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=YCFWP4HsdYHLyOnjwle6bA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-04,2 weeks ago
3,"Data Scientist, Product Analytics",Etsy,"Brooklyn, NY",Not specified,https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-etsy-3949660754?position=4&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=cwm%2Fr7fboGx7jk%2B%2FlrBlhw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-13,6 days ago
4,"Data Scientist, Marketing Analytics",Etsy,"Brooklyn, NY",Not specified,https://www.linkedin.com/jobs/view/data-scientist-marketing-analytics-at-etsy-3950538581?position=6&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=RS5I9rSJVjibRpyXrfZ9Dw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-14,5 days ago
5,Data Scientist,Amdocs,"Seattle, WA",Actively Hiring,https://www.linkedin.com/jobs/view/data-scientist-at-amdocs-3938856997?position=7&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=cj4BDuk1R0mA6DiE2cmUSA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-03,2 weeks ago
6,Data Scientist,Simpson Thacher & Bartlett LLP,New York City Metropolitan Area,Actively Hiring,https://www.linkedin.com/jobs/view/data-scientist-at-simpson-thacher-bartlett-llp-3948494248?position=8&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=dBaKnCuVV549vV0MIJxxaw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-15,5 days ago
7,Data Scientist,Monocle,New York City Metropolitan Area,Not specified,https://www.linkedin.com/jobs/view/data-scientist-at-monocle-3945769723?position=9&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=Pefy7wchXCcYYK%2FxMhYL1A%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-10,1 week ago
8,Senior Data Scientist,Walmart,"Seattle, WA",Actively Hiring +6 benefits,https://www.linkedin.com/jobs/view/senior-data-scientist-at-walmart-3947877102?position=13&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=Mk0grHPQomK227PKC2qpHQ%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-14,5 days ago
9,Machine Learning Engineer,Invitae,United States,Not specified,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-invitae-3948904282?position=14&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=q756l862ZQM5Zc8IP1rX%2BQ%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-12,1 week ago
10,Data Scientist,Waterbear Science,New York City Metropolitan Area,Not specified,https://www.linkedin.com/jobs/view/data-scientist-at-waterbear-science-3952205309?position=17&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=P%2FutNQlaUNVMiSayJc53Lg%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-18,1 day ago
